keyword
debited
credited
paid
received
spent
withdrawn
deposited
transferred
sent
payment made
payment received
purchase
transaction
refunded
cashback
amount debited
amount credited
amount withdrawn
amount transferred
sent to
received from
paid to
deducted
added
transferred to
transferred from
through UPI
using NEFT
using RTGS
using IMPS
swiped at
used at
charged
billed
funds transferred
funds added
funds deducted
money sent
money received
disbursed
loan disbursed
EMI deducted
EMI charged
salary credited
interest credited
interest debited
fee collected
charges applied
bank charges
penalty charged
tax deducted
refunded to
reversed
cancelled
processed
