keyword
transaction successful
payment successful
purchase successful
transaction completed
payment completed
purchase completed
transaction confirmed
payment confirmed
transaction processed
payment processed
transaction approved
payment approved
money sent
fund transfer successful
transfer successful
transaction declined
payment declined
purchase declined
transaction failed
payment failed
purchase failed
transaction rejected
payment rejected
transaction cancelled
payment cancelled
purchase cancelled
transaction on hold
payment on hold
transaction pending
payment pending
purchase pending
transaction initiated
payment initiated
purchase initiated
transaction in progress
payment in progress
purchase in progress
transaction verified
payment verified
purchase verified
withdrawal successful
deposit successful
payment received 
